"","15-16QA","16-16QA","35-4QA","37-4QA","38-8aQA","39-8QA","40-16QA","74-12QA","88-12QA","89-12QA","95-8QA","117-8QA","133-12QA","138-8QA","179-4QA","184-4QA","202-16QA","206-12QA","210-8QA","215-8QA","219-16QA","223-4QA","228-16QA","233-12QA","247-16QA","261-16QA","269-12QA","278-16QA","18-16QR","20-12QR","21-8QR","44-8QR","54-12QR","63-8QR","94-16QR","96-8QR","109-15QR","129-16QR","132-12QR","134-8QR","135-4QR","140-12QR","144-4QR","154-16QR","165-QR","172-12QR","180-12QR","181-8QR","182-12QR","183-8QR","187-12QR","194-12QR","205-8QR","207-4QR","213-12QR","217-12QR","227-11QR","229-4QR","236-12QR","237-8QR","238-8QR","239-4QR","240-12QR","241-4QR","245-8QR","273-8QR","276-4QR","277-12QR","46-8QV","53-16QV","62-8QV","65-8QV","178-8QV","230-16QV","248-4QV","274-8QV","125-12QP","22-12QM","23-8QM","79-8QM","36-16QMu","77-","92-","118-","224-","235-"
"1855",NA,NA,NA,0.987,NA,NA,1.159,NA,NA,NA,NA,0.199,NA,NA,NA,NA,NA,0.858,NA,NA,NA,1.398,NA,NA,NA,0.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.385,0.528,NA,1.569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,NA,NA,0.736,NA,NA,NA,NA,NA,NA,NA,2.213,0.849
"1856",NA,NA,NA,0.819,NA,NA,1.188,NA,NA,NA,NA,0.208,NA,NA,NA,NA,NA,0.852,NA,NA,NA,1.864,NA,NA,NA,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,0.407,NA,1.578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.589,NA,NA,0.573,NA,NA,NA,NA,NA,NA,NA,2.239,0.8
"1857",NA,NA,NA,0.824,NA,NA,0.865,NA,NA,NA,NA,0.189,NA,NA,NA,NA,NA,0.51,NA,NA,NA,0.997,NA,NA,NA,0.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.414,0.473,NA,1.162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,0.72,NA,NA,NA,NA,NA,NA,NA,2.247,0.948
"1858",NA,NA,NA,0.592,NA,NA,0.943,NA,NA,NA,NA,0.177,NA,NA,NA,NA,NA,0.653,NA,NA,NA,1.187,NA,NA,NA,0.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.493,0.457,NA,1.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.089,NA,NA,0.624,NA,NA,NA,NA,NA,NA,NA,2.112,0.882
"1859",NA,NA,NA,1.595,NA,NA,1.507,NA,NA,NA,NA,0.142,NA,NA,NA,NA,NA,0.626,NA,NA,NA,1.641,NA,NA,NA,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266,0.397,NA,1.852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.111,NA,NA,0.305,NA,NA,NA,NA,NA,NA,NA,1.672,1.35
"1860",NA,NA,NA,1.388,NA,NA,1.856,NA,NA,NA,NA,0.185,NA,NA,NA,NA,NA,0.559,NA,NA,NA,2.045,NA,NA,NA,0.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.242,NA,2.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.951,NA,NA,0.242,NA,NA,NA,NA,NA,NA,NA,1.609,1.356
"1861",NA,NA,NA,0.931,NA,NA,0.661,NA,NA,NA,NA,0.143,NA,NA,NA,NA,NA,0.577,NA,NA,NA,1.447,NA,NA,NA,0.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.623,0.325,NA,1.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.559,NA,NA,1.245,NA,NA,NA,NA,NA,NA,NA,1.561,1.554
"1862",NA,NA,NA,0.941,NA,NA,0.488,NA,NA,NA,NA,0.076,NA,NA,NA,NA,NA,0.496,NA,NA,NA,1.998,NA,NA,NA,0.331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.215,0.397,NA,1.841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.705,NA,NA,1.451,NA,NA,NA,NA,NA,NA,NA,1.394,1.561
"1863",NA,NA,NA,1.472,NA,NA,0.928,NA,NA,NA,NA,0.181,NA,NA,NA,NA,NA,0.573,NA,NA,NA,2.281,NA,NA,NA,0.394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.494,0.332,NA,1.603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.894,NA,NA,1.478,NA,NA,NA,NA,NA,NA,NA,1.161,0.85
"1864",NA,NA,NA,0.728,NA,NA,0.847,NA,NA,NA,NA,0.385,NA,NA,NA,NA,NA,0.382,NA,NA,NA,2.244,NA,NA,NA,0.236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.528,0.429,NA,1.682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.036,NA,NA,0.899,NA,NA,NA,NA,NA,NA,NA,0.932,0.661
"1865",NA,NA,NA,0.971,NA,NA,0.518,NA,NA,NA,NA,0.29,NA,NA,NA,NA,NA,0.409,NA,NA,NA,2.779,NA,NA,NA,0.396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.556,0.291,NA,2.319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.528,NA,NA,1.578,NA,NA,NA,NA,NA,NA,NA,1.13,0.543
"1866",NA,NA,NA,0.761,NA,NA,0.673,NA,NA,NA,NA,0.48,NA,NA,NA,NA,NA,0.307,NA,NA,NA,1.847,NA,NA,NA,0.256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.218,0.316,NA,1.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.681,NA,NA,1.386,2.169,NA,NA,NA,NA,NA,NA,1.227,0.379
"1867",NA,NA,NA,0.84,NA,NA,0.504,NA,NA,NA,NA,0.203,NA,NA,NA,NA,NA,0.286,NA,NA,NA,2.522,NA,3.488,NA,0.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.339,0.29,NA,1.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.495,NA,NA,1.194,2.108,NA,NA,NA,NA,NA,NA,1.191,0.553
"1868",NA,NA,NA,0.621,NA,NA,0.387,NA,NA,NA,NA,0.129,NA,NA,NA,NA,NA,0.311,NA,NA,NA,1.942,NA,1.945,NA,0.145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.428,0.318,NA,1.189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.534,NA,NA,0.978,2.507,NA,NA,NA,NA,NA,NA,1.321,0.47
"1869",NA,NA,NA,1.284,NA,NA,0.633,NA,NA,NA,NA,0.273,NA,NA,NA,NA,NA,0.26,NA,NA,NA,2.561,NA,2.016,NA,0.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.093,NA,NA,NA,NA,0.407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.229,0.978,NA,1.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.421,NA,NA,1.536,3.283,NA,NA,NA,NA,NA,NA,0.937,0.494
"1870",NA,NA,NA,1.076,NA,NA,0.462,NA,NA,NA,NA,0.14,NA,NA,NA,NA,NA,0.299,NA,NA,1.138,1.793,NA,1.876,NA,0.314,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.045,NA,NA,NA,NA,0.446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.314,0.43,NA,1.426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.419,NA,NA,1.194,3.197,NA,NA,NA,NA,NA,NA,1.354,0.427
"1871",NA,NA,NA,0.925,NA,NA,0.485,NA,NA,NA,NA,0.339,NA,NA,NA,NA,NA,0.362,NA,NA,1.231,1.898,NA,2.539,NA,0.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.818,NA,NA,NA,NA,0.528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.311,0.663,NA,1.313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.513,NA,NA,1.088,2.745,NA,NA,NA,NA,NA,NA,1.191,0.469
"1872",NA,NA,NA,0.874,NA,NA,0.406,NA,NA,NA,NA,0.256,NA,NA,NA,NA,NA,0.315,NA,NA,1.364,1.554,NA,2.513,NA,0.197,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.785,NA,NA,NA,NA,0.461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,0.466,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.568,NA,NA,0.971,2.77,NA,NA,NA,NA,NA,NA,1.077,0.518
"1873",NA,NA,NA,1.038,NA,NA,0.396,NA,NA,NA,NA,0.222,NA,NA,NA,NA,NA,0.412,NA,NA,1.615,1.585,NA,2.23,NA,0.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.866,NA,NA,NA,NA,1.193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.667,0.941,NA,1.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.781,NA,NA,1.292,2.598,NA,NA,NA,NA,NA,NA,0.946,0.481
"1874",NA,NA,NA,1.114,NA,NA,0.558,NA,NA,NA,NA,0.141,NA,NA,NA,NA,NA,0.295,NA,NA,1.883,1.806,NA,3.091,NA,0.192,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.096,NA,NA,NA,NA,1.197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.571,0.962,NA,1.694,NA,NA,NA,NA,NA,3.122,NA,NA,NA,NA,2.418,NA,NA,1.416,2.883,NA,NA,NA,NA,NA,NA,0.714,0.417
"1875",NA,NA,NA,1.128,NA,NA,0.376,NA,NA,NA,NA,0.204,NA,NA,NA,NA,NA,0.264,NA,NA,1.599,1.95,NA,3.382,NA,0.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.816,NA,NA,NA,NA,1.069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.387,0.744,NA,1.331,NA,NA,NA,NA,NA,3.428,NA,NA,NA,NA,2.043,NA,NA,1.541,2.721,NA,NA,NA,NA,NA,NA,0.771,0.406
"1876",NA,NA,NA,1.154,NA,NA,0.426,NA,NA,NA,NA,0.269,NA,NA,NA,NA,NA,0.369,NA,NA,1.173,2.704,NA,3.457,NA,0.372,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.092,NA,NA,NA,NA,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.317,0.896,NA,1.127,NA,NA,NA,NA,NA,2.517,NA,NA,NA,NA,1.588,NA,NA,1.415,2.993,NA,NA,NA,NA,NA,NA,1.133,0.437
"1877",NA,NA,NA,0.882,NA,NA,0.243,NA,NA,NA,NA,0.165,NA,2.291,NA,NA,NA,0.29,NA,NA,1.399,3.119,NA,3.015,NA,0.706,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.872,NA,2.586,NA,NA,1.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,1.273,NA,1.341,NA,NA,NA,NA,NA,1.942,NA,NA,NA,NA,1.308,NA,NA,1.605,3.393,NA,NA,NA,NA,NA,NA,1.191,0.295
"1878",NA,NA,NA,1.087,NA,NA,0.459,NA,NA,NA,NA,0.173,NA,3.401,NA,NA,NA,0.22,NA,1.38,2.31,2.884,NA,3.583,NA,0.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.763,NA,4.122,NA,NA,1.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.515,1.557,NA,1.225,NA,NA,NA,NA,NA,2.895,NA,NA,NA,NA,1.057,NA,NA,1.357,3.265,NA,NA,NA,NA,NA,NA,1.164,0.362
"1879",1.632,NA,NA,1.259,NA,NA,0.335,NA,NA,NA,NA,0.099,NA,1.27,NA,NA,NA,0.383,NA,1.016,1.36,3.409,NA,3.816,NA,0.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.723,NA,3.548,NA,NA,0.965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.357,1.299,NA,1.569,NA,NA,NA,NA,NA,2.418,NA,NA,NA,NA,1.187,NA,NA,1.321,2.859,NA,NA,NA,NA,NA,NA,1.313,0.425
"1880",1.257,NA,NA,1.083,NA,NA,0.391,NA,2.143,NA,NA,0.333,NA,1.752,NA,NA,NA,0.397,NA,0.932,1.295,2.83,NA,4.833,NA,0.723,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.045,NA,3.846,NA,NA,0.899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.495,1.058,NA,1.403,NA,NA,NA,NA,NA,2.371,NA,NA,NA,NA,2.177,NA,NA,1.144,3.182,NA,NA,NA,NA,NA,NA,1.338,0.522
"1881",1.682,NA,NA,1.149,NA,NA,0.243,NA,2.862,NA,NA,0.69,NA,2.468,NA,NA,NA,0.326,NA,0.625,1.371,3.414,NA,4.41,NA,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,4.4,NA,NA,1.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.473,1.414,NA,1.586,NA,NA,NA,NA,NA,1.823,NA,NA,NA,NA,1.675,NA,NA,1.217,3.687,4.509,NA,NA,NA,NA,NA,1.013,0.721
"1882",1.306,NA,NA,0.838,NA,NA,0.411,NA,2.314,NA,NA,0.632,NA,2.209,NA,NA,NA,0.368,NA,0.457,1.192,2.451,NA,3.561,NA,0.793,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,NA,3.646,NA,NA,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.614,0.991,NA,1.298,NA,NA,NA,NA,NA,1.567,NA,NA,NA,NA,1.251,NA,NA,1.064,3.717,3.779,NA,NA,NA,NA,NA,1.181,0.787
"1883",2.571,NA,NA,1.049,NA,NA,0.326,NA,3.044,NA,NA,0.666,NA,3.231,NA,NA,NA,0.224,NA,0.746,1.226,2.32,NA,2.296,NA,1.201,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.851,NA,4.787,NA,NA,0.996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.532,0.9,NA,1.149,NA,NA,NA,NA,NA,1.047,NA,NA,NA,NA,1.228,NA,NA,0.868,3.605,3.35,NA,NA,NA,NA,NA,1.494,0.811
"1884",2.668,NA,NA,1.137,NA,NA,0.301,NA,2.337,NA,NA,0.586,NA,1.881,NA,NA,NA,0.322,NA,0.932,0.978,2.489,NA,3.145,NA,1.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.711,NA,3.856,NA,NA,1.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.538,0.508,NA,1.334,NA,NA,NA,NA,NA,1.273,NA,NA,NA,NA,1.658,NA,NA,0.916,2.806,2.895,NA,NA,NA,NA,NA,1.247,0.776
"1885",3.385,NA,NA,1.485,NA,NA,0.301,NA,3.315,NA,NA,0.35,NA,2.637,NA,NA,NA,0.22,NA,0.806,1.706,2.664,NA,1.776,NA,0.937,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.986,NA,4.822,NA,NA,1.226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.818,0.818,NA,1.019,NA,NA,NA,NA,NA,1.344,NA,NA,NA,NA,2.503,NA,NA,0.97,2.965,3.087,NA,NA,NA,NA,NA,1.697,0.917
"1886",3.162,NA,NA,1.632,NA,NA,0.269,NA,1.989,NA,NA,0.412,NA,2.267,NA,NA,NA,0.232,NA,0.474,1.006,2.418,NA,2.414,NA,0.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.767,NA,3.359,NA,NA,1.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.664,0.601,NA,0.779,NA,NA,NA,NA,NA,1.946,NA,NA,NA,NA,2.418,NA,NA,0.775,1.968,3.286,NA,NA,NA,NA,NA,2.635,0.645
"1887",2.723,NA,NA,1.311,NA,NA,0.234,NA,2.308,NA,NA,0.229,NA,2.758,NA,NA,NA,0.156,NA,0.628,1.379,1.773,NA,1.802,NA,0.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.522,NA,4.102,NA,NA,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.409,0.351,NA,1.358,NA,NA,NA,NA,NA,2.25,NA,NA,NA,NA,2.291,NA,NA,0.96,2.24,4.129,NA,NA,NA,NA,NA,2.157,0.73
"1888",1.803,NA,NA,1.079,NA,NA,0.677,NA,2.085,NA,NA,0.269,NA,2.54,NA,NA,NA,0.354,NA,0.375,1.394,1.987,NA,1.728,NA,0.792,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.647,NA,3.546,NA,NA,0.969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.456,0.426,NA,1.141,NA,NA,NA,NA,NA,1.856,NA,NA,NA,NA,2.91,NA,NA,0.926,2.619,4.398,NA,NA,NA,NA,NA,1.728,0.898
"1889",3.009,NA,NA,1.42,NA,NA,1.262,NA,3.676,NA,NA,0.263,NA,2.145,NA,NA,NA,0.444,NA,0.404,2.76,2.302,NA,2.406,NA,1.419,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.956,NA,5.269,NA,NA,0.962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,0.484,NA,1.185,NA,NA,NA,NA,NA,2.315,NA,NA,NA,NA,2.347,NA,NA,1.264,3.542,3.691,NA,NA,NA,NA,NA,1.551,1.321
"1890",2.148,NA,NA,0.901,NA,NA,0.872,NA,2.005,NA,NA,0.445,NA,2.68,NA,NA,NA,0.455,NA,0.319,1.747,1.676,NA,2.244,NA,0.689,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.792,NA,4.763,NA,NA,1.183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.495,0.441,NA,1.477,NA,NA,NA,NA,NA,1.798,NA,NA,NA,NA,2.414,NA,NA,1.15,1.77,2.751,NA,NA,NA,NA,NA,1.812,0.938
"1891",2.843,NA,NA,1.344,NA,NA,0.761,NA,2.222,NA,NA,0.233,NA,1.855,NA,NA,NA,0.42,NA,0.303,1.425,2.368,NA,2.002,NA,0.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.649,NA,3.349,NA,NA,0.998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.378,0.304,NA,1.731,NA,NA,NA,NA,NA,1.948,NA,NA,NA,NA,2.04,NA,NA,1.22,1.371,2.472,NA,NA,NA,NA,NA,1.87,0.693
"1892",2.556,NA,NA,1.126,NA,NA,0.732,NA,1.638,NA,NA,0.323,NA,2.793,NA,NA,NA,0.297,NA,0.257,1.56,3.012,NA,1.46,NA,0.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.531,NA,2.885,1.64,NA,0.906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.498,0.49,NA,2.508,NA,NA,NA,NA,NA,1.973,NA,NA,NA,NA,2.198,NA,NA,1.416,1.791,2.776,NA,NA,NA,NA,NA,1.762,0.754
"1893",1.527,NA,NA,0.904,NA,NA,0.478,NA,1.032,NA,NA,0.238,NA,1.854,NA,NA,NA,0.33,NA,0.366,1.013,2.017,NA,1.412,NA,0.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.693,NA,2.885,1.246,NA,1.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.527,0.412,NA,2.465,NA,NA,NA,NA,NA,1.955,NA,NA,NA,NA,1.856,NA,NA,0.991,1.51,3.726,NA,NA,NA,NA,NA,1.087,0.865
"1894",1.785,NA,NA,0.754,NA,NA,0.329,NA,0.697,NA,NA,0.458,NA,2.059,NA,NA,NA,0.403,NA,0.35,0.981,2.319,NA,1.038,NA,0.19,1.862,NA,NA,NA,NA,NA,NA,NA,NA,0.805,NA,3.104,1.579,NA,0.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.959,0.474,NA,2.041,NA,NA,NA,NA,NA,1.514,NA,NA,NA,NA,1.539,NA,NA,0.887,1.335,2.534,NA,NA,NA,NA,2.938,1.135,0.688
"1895",1.198,NA,NA,0.725,NA,NA,0.388,NA,0.352,NA,NA,0.486,NA,1.688,NA,NA,NA,0.29,NA,0.32,0.984,2.042,NA,1.299,NA,0.124,2.647,NA,NA,NA,NA,2.739,NA,NA,NA,0.727,NA,2.893,1.977,NA,0.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.747,0.361,NA,1.701,NA,NA,NA,NA,NA,1.368,NA,NA,NA,NA,1.294,NA,NA,0.963,1.249,2.032,NA,NA,NA,NA,2.475,1.619,0.817
"1896",2.476,NA,NA,0.734,NA,NA,0.583,NA,1.081,NA,NA,1.076,NA,2.168,1.115,NA,NA,0.475,NA,0.279,1.769,1.861,5.477,1.098,NA,0.159,2.568,NA,NA,NA,NA,3.022,NA,NA,NA,1.206,NA,3.702,2.819,NA,0.758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.132,0.691,NA,1.584,NA,NA,NA,NA,NA,1.162,NA,NA,NA,NA,1.324,NA,NA,0.949,2.05,2.745,NA,NA,NA,NA,2.693,1.426,1.231
"1897",2.307,NA,NA,0.965,NA,NA,0.641,NA,1.552,NA,NA,0.515,NA,2.126,1.588,NA,NA,0.499,NA,0.335,1.506,1.948,4.812,1.274,NA,0.152,2.525,NA,NA,NA,NA,3.312,NA,NA,NA,1.129,NA,5.25,3.694,NA,1.663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.786,0.959,NA,1.799,NA,NA,NA,NA,NA,1.417,NA,NA,NA,NA,1.396,NA,NA,0.882,1.486,2.575,NA,NA,NA,3.118,2.55,1.303,1.939
"1898",1.607,NA,NA,0.566,NA,NA,0.564,NA,1.097,NA,NA,0.356,NA,2.694,1.209,NA,NA,0.278,NA,0.243,1.701,1.564,5.556,1.299,NA,0.175,2.75,NA,NA,NA,NA,2.608,NA,NA,NA,1.064,NA,3.248,3.899,NA,1.302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.649,0.887,NA,2.542,NA,NA,NA,NA,NA,1.182,NA,NA,NA,NA,1.643,NA,NA,0.75,1.36,1.921,NA,NA,NA,2.508,1.782,1.493,2.108
"1899",2.398,NA,NA,0.892,NA,NA,0.573,NA,0.791,NA,NA,0.408,NA,1.824,1.714,NA,NA,0.3,NA,0.269,1.607,1.747,3.106,1.078,NA,0.154,2.803,NA,NA,NA,NA,2.813,NA,NA,NA,1.221,NA,2.925,3.276,NA,1.187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.272,NA,NA,NA,NA,NA,NA,1.024,0.814,NA,2.256,NA,NA,NA,NA,NA,1.01,NA,NA,NA,NA,2.19,NA,NA,0.814,0.993,1.982,NA,NA,NA,3.127,1.602,0.89,2.474
"1900",1.789,NA,NA,0.673,NA,NA,0.3,NA,0.834,NA,NA,0.644,NA,2.037,1.118,NA,NA,0.256,NA,0.201,1.231,1.386,2.102,0.982,NA,0.286,2.667,NA,NA,NA,NA,3.363,NA,NA,NA,1.773,NA,2.542,2.575,NA,1.153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.124,NA,NA,NA,NA,NA,NA,0.692,0.933,NA,2.228,NA,NA,NA,NA,NA,0.868,NA,NA,NA,NA,1.34,NA,NA,0.773,1.402,1.949,NA,NA,NA,5.598,1.598,1.142,2.007
"1901",2.431,NA,NA,0.544,NA,NA,0.663,NA,1.084,NA,NA,0.674,2.152,2.502,2.055,NA,NA,0.263,NA,0.209,2.548,1.365,2.461,1.031,NA,0.119,2.521,NA,NA,NA,NA,2.305,NA,NA,NA,2.153,NA,2.698,3.111,NA,0.867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.459,NA,NA,NA,NA,NA,NA,0.769,1.042,NA,1.783,NA,NA,NA,NA,NA,0.753,NA,NA,NA,NA,1.129,NA,NA,0.692,1.298,1.87,NA,NA,NA,4.281,1.412,0.76,3.368
